id;size;event_begin;area_name;area_longitude;area_latitude;area_uncertainty;parent_area_name;dna;depth;temperature;id
EE0493;1450;24/04/2023;Ile esprit;46,2253634;9,42518;20;Aldabra Atoll;7,23;10;26,3;EE0493
EE0495;1500;02/04/2023;Settlement beach;46,206047;9,400901;98;Aldabra Atoll;15,83;12;25,1;EE0495
