scientificName	scientificNameID
Clausocalanus furcatus	urn:lsid:marinespecies.org:taxname:104503
	
Farranula gibbula	urn:lsid:marinespecies.org:taxname:346477
	
Metazoa	urn:lsid:marinespecies.org:taxname:1486573
	
Metazoa	urn:lsid:marinespecies.org:taxname:1486573
	
	
	
Clausocalanus furcatus	urn:lsid:marinespecies.org:taxname:104503
	
	
	
	
	
Clausocalanus furcatus	urn:lsid:marinespecies.org:taxname:104503
	
Farranula gibbula	urn:lsid:marinespecies.org:taxname:346477
	
	
	
	
	
Metazoa	urn:lsid:marinespecies.org:taxname:1486573
Phaeocystis	urn:lsid:marinespecies.org:taxname:115088
	
Metazoa	urn:lsid:marinespecies.org:taxname:1486573
Phanerophthalmus lentigines	urn:lsid:marinespecies.org:taxname:1313730
Metazoa	urn:lsid:marinespecies.org:taxname:1486573
	
	
	
Phaeocystis	urn:lsid:marinespecies.org:taxname:115088
	
Metazoa	urn:lsid:marinespecies.org:taxname:1486573
	
	
	
Metazoa	urn:lsid:marinespecies.org:taxname:1486573
	
	
	
Arthropoda	urn:lsid:marinespecies.org:taxname:1065
Phaeocystis	urn:lsid:marinespecies.org:taxname:115088
Arthropoda	urn:lsid:marinespecies.org:taxname:1065
	
	
	
	
	
	
	
	
	
Metazoa	urn:lsid:marinespecies.org:taxname:1486573
	
Arthropoda	urn:lsid:marinespecies.org:taxname:1065
Pseudo-nitzschia pseudodelicatissima	urn:lsid:marinespecies.org:taxname:156548
	
Phaeocystis globosa	urn:lsid:marinespecies.org:taxname:160538
	
	
	
	
Cerithium nesioticum	urn:lsid:marinespecies.org:taxname:139061
	
	
Metazoa	urn:lsid:marinespecies.org:taxname:1486573
	
Pseudo-nitzschia pseudodelicatissima	urn:lsid:marinespecies.org:taxname:156548
	
Clausocalanus furcatus	urn:lsid:marinespecies.org:taxname:104503
	
	
	
	
	
	
	
Metazoa	urn:lsid:marinespecies.org:taxname:1486573
	
	
	
	
Metazoa	urn:lsid:marinespecies.org:taxname:1486573
	
	
Metazoa	urn:lsid:marinespecies.org:taxname:1486573
	
Cylindrotheca closterium	urn:lsid:marinespecies.org:taxname:149004
	
	
	
	
	
	
Metazoa	urn:lsid:marinespecies.org:taxname:1486573
Phaeocystis	urn:lsid:marinespecies.org:taxname:115088
	
Metazoa	urn:lsid:marinespecies.org:taxname:1486573
	
	
Pseudo-nitzschia pseudodelicatissima	urn:lsid:marinespecies.org:taxname:156548
	
	
Metazoa	urn:lsid:marinespecies.org:taxname:1486573
	
	
	
	
	
	
	
	
Metazoa	urn:lsid:marinespecies.org:taxname:1486573
	
	
	
Arthropoda	urn:lsid:marinespecies.org:taxname:1065
	
	
Metazoa	urn:lsid:marinespecies.org:taxname:1486573
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
Florideophyceae	urn:lsid:marinespecies.org:taxname:368670
	
	
	
	
	
Metazoa	urn:lsid:marinespecies.org:taxname:1486573
	
	
	
	
	
Epigonichthys maldivensis	urn:lsid:marinespecies.org:taxname:212958
	
	
	
	
Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977
	
	
	
	
Cylindrotheca closterium	urn:lsid:marinespecies.org:taxname:149004
	
	
	
Metazoa	urn:lsid:marinespecies.org:taxname:1486573
	
	
Phaeocystis	urn:lsid:marinespecies.org:taxname:115088
	
